PLATE_ID;NODE_ID;X;Y;WIDTH;HEIGHT;TYPE;CUT;PARENT
0;0;0;0;6000;3210;-2;0;
0;1;0;0;2012;3210;-2;1;0
0;2;0;0;2012;2185;-2;2;1
0;3;0;0;660;2185;200;3;2
0;4;660;0;660;2185;201;3;2
0;5;1320;0;660;2185;202;3;2
0;6;1980;0;32;2185;-1;3;2
0;7;0;2185;2012;1025;-2;2;1
0;8;0;2185;1166;1025;-2;3;7
0;9;0;2185;1166;963;140;4;8
0;10;0;3148;1166;62;-1;4;8
0;11;1166;2185;826;1025;-2;3;7
0;12;1166;2185;826;843;220;4;11
0;13;1166;3028;826;182;-1;4;11
0;14;1992;2185;20;1025;-1;3;7
0;15;2012;0;1966;3210;-2;1;0
0;16;2012;0;1966;2031;-2;2;15
0;17;2012;0;1123;2031;20;3;16
0;18;3135;0;843;2031;-2;3;16
0;19;3135;0;843;2009;160;4;18
0;20;3135;2009;843;22;-1;4;18
0;21;2012;2031;1966;1179;-2;2;15
0;22;2012;2031;1935;1179;-2;3;21
0;23;2012;2031;1935;1143;100;4;22
0;24;2012;3174;1935;36;-1;4;22
0;25;3947;2031;31;1179;-1;3;21
0;26;3978;0;1993;3210;-2;1;0
0;27;3978;0;1993;2031;-2;2;26
0;28;3978;0;1124;2031;21;3;27
0;29;5102;0;843;2031;-2;3;27
0;30;5102;0;843;2009;161;4;29
0;31;5102;2009;843;22;-1;4;29
0;32;5945;0;26;2031;-1;3;27
0;33;3978;2031;1993;1179;-2;2;26
0;34;3978;2031;1973;1179;-2;3;33
0;35;3978;2031;1973;1123;22;4;34
0;36;3978;3154;1973;56;-1;4;34
0;37;5951;2031;20;1179;-1;3;33
0;38;5971;0;29;3210;-1;1;0
1;39;0;0;6000;3210;-2;0;
1;40;0;0;2158;3210;-2;1;39
1;41;0;0;2158;596;-2;2;40
1;42;0;0;2111;596;40;3;41
1;43;2111;0;47;596;-1;3;41
1;44;0;596;2158;1857;-2;2;40
1;45;0;596;1079;1857;162;3;44
1;46;1079;596;1079;1857;163;3;44
1;47;0;2453;2158;757;-2;2;40
1;48;0;2453;121;757;-1;3;47
1;49;121;2453;1956;757;-2;3;47
1;50;121;2453;1956;721;120;4;49
1;51;121;3174;1956;36;-1;4;49
1;52;2077;2453;81;757;-1;3;47
1;53;2158;0;963;3210;-2;1;39
1;54;2158;0;963;1971;-2;2;53
1;55;2158;0;876;1971;180;3;54
1;56;3034;0;87;1971;-1;3;54
1;57;2158;1971;963;1167;141;2;53
1;58;2158;3138;963;72;-1;2;53
1;59;3121;0;1971;3210;-2;1;39
1;60;3121;0;1971;877;181;2;59
1;61;3121;877;1971;1143;-2;2;59
1;62;3121;877;1935;1143;101;3;61
1;63;5056;877;36;1143;-1;3;61
1;64;3121;2020;1971;1190;-2;2;59
1;65;3121;2020;1935;1190;-2;3;64
1;66;3121;2020;1935;1143;102;4;65
1;67;3121;3163;1935;47;-1;4;65
1;68;5056;2020;36;1190;-1;3;64
1;69;5092;0;877;3210;-2;1;39
1;70;5092;0;877;1971;182;2;69
1;71;5092;1971;877;1239;-2;2;69
1;72;5092;1971;410;1239;-2;3;71
1;73;5092;1971;410;1197;164;4;72
1;74;5092;3168;410;42;-1;4;72
1;75;5502;1971;410;1239;-2;3;71
1;76;5502;1971;410;1197;165;4;75
1;77;5502;3168;410;42;-1;4;75
1;78;5912;1971;57;1239;-1;3;71
1;79;5969;0;31;3210;-1;1;39
2;80;0;0;6000;3210;-2;0;
2;81;0;0;1980;3210;-2;1;80
2;82;0;0;1980;824;166;2;81
2;83;0;824;1980;824;167;2;81
2;84;0;1648;1980;721;-2;2;81
2;85;0;1648;1956;721;121;3;84
2;86;1956;1648;24;721;-1;3;84
2;87;0;2369;1980;841;-2;2;81
2;88;0;2369;1956;841;-2;3;87
