PLATE_ID;NODE_ID;X;Y;WIDTH;HEIGHT;TYPE;CUT;PARENT
0;0;0;0;6000;3210;-2;0;
0;1;0;0;1949;3210;-2;1;0
0;2;0;0;1949;275;-2;2;1
0;3;0;0;105;275;-1;3;2
0;4;105;0;825;275;-2;3;2
0;5;105;0;825;32;-1;4;4
0;6;105;32;825;243;38;4;4
0;7;930;0;1019;275;-2;3;2
0;8;930;0;1019;23;-1;4;7
0;9;930;23;1019;252;0;4;7
0;10;0;275;1949;322;-2;2;1
0;11;0;275;121;322;-1;3;10
0;12;121;275;856;322;-2;3;10
0;13;121;275;856;26;-1;4;12
0;14;121;301;856;296;39;4;12
0;15;977;275;972;322;31;3;10
0;16;0;597;1949;954;-2;2;1
0;17;0;597;113;954;-1;3;16
0;18;113;597;441;954;-2;3;16
0;19;113;597;441;68;-1;4;18
0;20;113;665;441;886;40;4;18
0;21;554;597;1395;954;20;3;16
0;22;0;1551;1949;885;-2;2;1
0;23;0;1551;31;885;-1;3;22
0;24;31;1551;791;885;21;3;22
0;25;822;1551;1127;885;-2;3;22
0;26;822;1551;1127;81;-1;4;25
0;27;822;1632;1127;804;13;4;25
0;28;0;2436;1949;387;-2;2;1
0;29;0;2436;48;387;-1;3;28
0;30;48;2436;1901;387;27;3;28
0;31;0;2823;1949;387;-2;2;1
0;32;0;2823;48;387;-1;3;31
0;33;48;2823;1901;387;28;3;31
0;34;1949;0;1664;3210;-2;1;0
0;35;1949;0;1664;460;-2;2;34
0;36;1949;0;20;460;-1;3;35
0;37;1969;0;868;460;-2;3;35
0;38;1969;0;868;99;-1;4;37
0;39;1969;99;868;361;29;4;37
0;40;2837;0;776;460;-2;3;35
0;41;2837;0;776;30;-1;4;40
0;42;2837;30;776;430;14;4;40
0;43;1949;460;1664;559;-2;2;34
0;44;1949;460;59;559;-1;3;43
0;45;2008;460;1605;559;22;3;43
0;46;1949;1019;1664;559;-2;2;34
0;47;1949;1019;59;559;-1;3;46
0;48;2008;1019;1605;559;23;3;46
0;49;1949;1578;1664;559;-2;2;34
0;50;1949;1578;59;559;-1;3;49
0;51;2008;1578;1605;559;24;3;49
0;52;1949;2137;1664;427;-2;2;34
0;53;1949;2137;237;427;-1;3;52
0;54;2186;2137;480;427;25;3;52
0;55;2666;2137;947;427;-2;3;52
0;56;2666;2137;947;95;-1;4;55
0;57;2666;2232;947;332;41;4;55
0;58;1949;2564;1664;646;-2;2;34
0;59;1949;2564;72;646;-1;3;58
0;60;2021;2564;1592;646;7;3;58
0;61;3613;0;2155;3210;-2;1;0
0;62;3613;0;2155;915;-2;2;61
0;63;3613;0;140;915;-1;3;62
0;64;3753;0;246;915;-2;3;62
0;65;3753;0;246;153;-1;4;64
0;66;3753;153;246;762;8;4;64
0;67;3999;0;815;915;-2;3;62
0;68;3999;0;815;57;-1;4;67
0;69;3999;57;815;858;45;4;67
0;70;4814;0;954;915;-2;3;62
0;71;4814;0;954;50;-1;4;70
0;72;4814;50;954;865;1;4;70
0;73;3613;915;2155;1108;-2;2;61
0;74;3613;915;62;1108;-1;3;73
0;75;3675;915;257;1108;-2;3;73
0;76;3675;915;257;156;-1;4;75
0;77;3675;1071;257;952;26;4;75
0;78;3932;915;416;1108;-2;3;73
0;79;3932;915;416;243;-1;4;78
0;80;3932;1158;416;865;2;4;78
0;81;4348;915;1420;1108;46;3;73
0;82;3613;2023;2155;247;-2;2;61
0;83;3613;2023;116;247;-1;3;82
0;84;3729;2023;2039;247;47;3;82
0;85;3613;2270;2155;940;9;2;61
0;86;5768;0;232;3210;-2;1;0
0;87;5768;0;232;907;-2;2;86
0;88;5768;0;37;907;-1;3;87
0;89;5805;0;195;907;-2;3;87
0;90;5805;0;195;170;-1;4;89
0;91;5805;170;195;737;15;4;89
0;92;5768;907;232;2303;48;2;86
1;93;0;0;6000;3210;-2;0;
1;94;0;0;1043;3210;-2;1;93
1;95;0;0;1043;611;-2;2;94
1;96;0;0;21;611;-1;3;95
1;97;21;0;1022;611;-2;3;95
1;98;21;0;1022;24;-1;4;97
1;99;21;24;1022;587;32;4;97
1;100;0;611;1043;310;-2;2;94
1;101;0;611;34;310;-1;3;100
1;102;34;611;1009;310;10;3;100
1;103;0;921;1043;1189;-2;2;94
1;104;0;921;31;1189;-1;3;103
1;105;31;921;790;1189;3;3;103
1;106;821;921;222;1189;4;3;103
1;107;0;2110;1043;310;-2;2;94
1;108;0;2110;34;310;-1;3;107
1;109;34;2110;1009;310;11;3;107
1;110;0;2420;1043;790;-2;2;94
1;111;0;2420;24;790;-1;3;110
1;112;24;2420;1019;790;12;3;110
1;113;1043;0;354;3210;-2;1;93
1;114;1043;0;354;976;-2;2;113
1;115;1043;0;22;976;-1;3;114
1;116;1065;0;332;976;-2;3;114
1;117;1065;0;332;29;-1;4;116
1;118;1065;29;332;947;42;4;116
1;119;1043;976;354;1117;33;2;113
1;120;1043;2093;354;1117;34;2;113
1;121;1397;0;820;3210;-2;1;93
1;122;1397;0;820;2028;-2;2;121
1;123;1397;0;20;2028;-1;3;122
1;124;1417;0;800;2028;-2;3;122
1;125;1417;0;800;92;-1;4;124
1;126;1417;92;800;1936;35;4;124
1;127;1397;2028;820;1182;-2;2;121
1;128;1397;2028;38;1182;-1;3;127
1;129;1435;2028;782;1182;43;3;127
1;130;2217;0;658;3210;-2;1;93
1;131;2217;0;658;1077;-2;2;130
1;132;2217;0;33;1077;-1;3;131
1;133;2250;0;303;1077;-2;3;131
1;134;2250;0;303;218;-1;4;133
1;135;2250;218;303;859;49;4;133
1;136;2553;0;322;1077;-2;3;131
1;137;2553;0;322;105;-1;4;136
1;138;2553;105;322;972;44;4;136
1;139;2217;1077;658;1027;-2;2;130
1;140;2217;1077;329;1027;36;3;139
1;141;2546;1077;329;1027;37;3;139
1;142;2217;2104;658;1106;-2;2;130
1;143;2217;2104;26;1106;-1;3;142
1;144;2243;2104;316;1106;16;3;142
1;145;2559;2104;316;1106;17;3;142
1;146;2875;0;891;3210;-2;1;93
1;147;2875;0;891;1282;-2;2;146
